text,label
"Turkcell kurumsal müşteri temsilcisi telefon ile arayarak uzun süredir abone olduğumuz için biriken puanlarımız ile ücretsiz telefon alabileceğimizi beyan etmiştir, biz de olumlu karşılayıp telefonu aldık fakat daha sonra cihazın faturaya artı bir ücret ile yansıtıldığını öğrendik. Müşteri hizmetleri çağrı kaydını dinlemem için telefon ile aradı fakat herhangi bir kayıt sesi gelmedi. Tekrar arayarak durumu ilettim. Ertesi gün müşteri hizmetleri tekrar arayarak çağrı kaydının sadece savcılık kararı ile dinlenebileceğini söyledi. Sonuçta ihtiyacımız olmayan bir telefon için 600 tl para ödeyeceğiz. Önceki yıllarda aynı şekilde Turkcell ile problem yaşamış ve bir çok hattımızı diğer operatörlere taşımıştık. Sadece bir hattımız kalmıştı, bu hattı da diğer operatörlere geçirmeyerek hatayı biz yapmışız. Zaten bu tip firmalar hata yapmaz, hep müşteri hata yapar.",Müşteri Hizmetleri Şikayetleri
"Ariza kaydi verdim, once acemi calisanlar arayip sizi illallah ettiriyor sonra arayacağız diyolar 24 saat bekliyorlar. Sonra ekip gelecek diyorlar gunler geciyor.",Müşteri Hizmetleri Şikayetleri
"Kasım2013'te bireyselden kurumsala geçiş yaptığım hatlarımın tahahhüt sürelerinin bitmesine 1 ay kala farklı bir operatöre geçiş yapmamdan dolayı tarafıma 3.697 tl yüksek bir fatura gelmiş olup, müşteri hizmetlerini arayıp bilgi istediğimde incelenip tarafıma faturada bir hata olmadığı bilgisi verilmiştir. Buradan sormak istediğim taahhütün bitmesine 1 ay kala bir hat ile 10-12 ay kalan hat arasında taahhüt bedelinde bir fark olmamalı mı? Para bu kadar kolay mı kazanılıyor?",Fatura ve Ödeme Şikayetleri
Turkcell yuksek fatura odememe rağmen bana telefon vermiyor ve faturalarim hepsi de zamaninda odenmis. Buna ragmen iphone 5s gorunmesine ragmen puanim 7 aydan beri 400 tl'dir bu hatanin duzeltilmesini istiyorum yoksa baska operatore gecmek zorunda kalacağım.,Abonelik ve İşlem Şikayetleri
Faturalı mağduru garip sürekli yüksek faturalarla karşılaşıyorum. Bu durumun açıklanmasını istiyorum!,Ürün ve Hizmet Spesifik Şikayetler
Mesaj yoluyla ve mobil internetten onlarca defa internet paketi talebinde bulunmama ragmen paketim onaylanmiyor.,Abonelik ve İşlem Şikayetleri
Faturam sürekli yüksek geliyor ve kimse yardımcı olmuyor. Sorunumu çözmek için ne yapmam gerekiyor?,Fatura ve Ödeme Şikayetleri
Hatay'ın ortasında şebeke yok bu kadar büyük bir bölgede nasıl bağlantı sorunu yaşanır? Sorunun hemen çözülmesini istiyorum!,Ürün ve Hizmet Spesifik Şikayetler
Yaptığınız haksızlık acilen düzeltilmeli. Bu tür sorunlar kabul edilemez ve müşteri mağduriyetini artırıyor.,Müşteri Hizmetleri Şikayetleri
Suudi Arabistan Hac paketi neden kaldırıldı? Bu durumun nedenini ve olası alternatifleri öğrenmek istiyorum.,Müşteri Hizmetleri Şikayetleri
Superonline bağlantı sorununu çözmüyor sürekli kesinti yaşıyoruz. Artık bıktık!,Teknik Şikayetler
"11.08.2016'ya kadar 8 Megabit olan paketimi aylık 15 tl daha fazla ödemek ve 24 ay taahhüt yapmak şartı ile 16 Megabit olan paket ile değiştirdim fakat almış olduğum 16 Megabit'lik internet paketinin hızı geçtiğimiz 1 yıldır neden ise 3 Megabit'in üzerine çıkmadı. 444 0 375 numaralı müşteri hizmetlerine arıza kaydı bıraktığımda hep aynı senaryo (kaydınız alınmıştır, sorununuz en kısa zamanda çözülecektir) mesajı geliyor fakat ne çözüm var ne de internet hızımda bir yükselme. Türk Telekom Ordu Şubesi ilimizin tamamında fiber alt yapıya sahip olmadan, fiber internet satıyor ve biz müşterilerini mağdur ediyor. Türk Telekom Genel Merkezi sesimizi duymalı ve aynı sorunu yaşayan milyonlarca müşterinin sorununa çözüm bulmalıdır. Önemli olan çok satmak değil kaliteli hizmet sunmaktır, müşteri memnuniyetidir.",Teknik Şikayetler
Yaklaşık bir ay önce tivibu süper pakete geçmene rağmen hala aktivasyonum gerçekleşmedi. Takımım maçlarını dahi izleyemedim. Bu kadar ciddiyetsiz bir firma görmedim.,Abonelik ve İşlem Şikayetleri
"Turkcell Superonline; 23/10/2015 saat 16:15 te açtığım internet taşıma talebime hala cevap verilmedi, ilk kurulum için 1 gün beklettiler şimdi iptal etmek istiyorum bin dereden su getiriyorlar. Bu zamana kadar kaç defa aradım hatırlamıyorum, her aramamda farklı farklı yanlışlar öğreniyorum. Bu tür hizmetleri satarken gösterdikleri ilgi ve alakayı servis sırasında da göstermeleri gerekiyor. Konu hakkında yardımlarınızı rica ederim.",Abonelik ve İşlem Şikayetleri
Kahramanmaraş sarka bobin 07.08.2017 tarihinde kahramanmaraş türk telekom müdürlüğüne dilekçemizi verdik. 10.08.2017 tarihi oldu telefonumuz halen yapıulamadı buradaki telefon arıza servisine bildirdik bize tespit cihazını beklediklerini söylediler bizim iş yerimiz merkez istanbul'a bağlı olup genel müdürlükten bize bu telefonlarınız neden çalışmıyor neden ilgilenmiyorsunuz diye tehtit ve savunmamızı istiyorlar bu nedenle şuanda biz mağduruz şirket sorumlusu olarak bize nasıl yardımcı olursunuz.,Fatura ve Ödeme Şikayetleri
2. Ankara Mamak Boğaziçi'nde Önder İletişim'den 2 tane Vestel Venüs cihaz aldım. Almaz olaydım. Kutulardan birinde kırılmaz cam çıkmadı diğerinde ise cam kırık çıktı. İki tane de kapaklı kılıf istedim tamam yarın gel yapalım dediler. 3 gündür gidiyorum. Cam gelmedi dediler. Cihazları iade etmek istiyorum açılmış cihazı iade almıyoruz dediler. Yani çalışanlar da müşteri ile dalga geçiyor Vodafone da. Nasıl olsa sattık sorununu kendi halletsin gibisinden. Lanet olsun diyorum. Bir kazık yedim ama şu telefon fatura dönemleri bitsin bir daha tövbeler olsun Vodafone hat kullanırsam. Yazıklar olsun Vodafone. Sadece adınız var içiniz boş. Yazık...,Fatura ve Ödeme Şikayetleri
"İnternetim bitti hemen internet istedim bir tane, üç kere gonderildi ikisi fazladan geldi.",Müşteri Hizmetleri Şikayetleri
İletişim merkezine bir türlü ulaşamıyorum ve bu durum sorunlarımı çözmeme engel oluyor. Destek almak istiyorum.,Ürün ve Hizmet Spesifik Şikayetler
Vodafone Net taahhüt bitince 1 yıl daha uzatmış iptal etmek istedik 240 TL ceza dediler. Müşteri hizmetleri çelişkili bilgiler veriyor!,Sözleşme ve Taahhüt Şikayetleri
"2. 9 Eylül'den beri sayısız girişimim olmasına rağmen 3-4 defa söz verdiğiniz zamanlarda evime kuruluma gelmediniz! Şimdi de cumartesi gününe aldım, tarih ve ekstra maliyeti olacak sizin sözünüzü tutmayışınızın. Sayısız şikayet kaydım var kimse aramıyor ve 10 iş günü içerisinde derdim çözülmedi. Gelmeyecekseniz gelmiyoruz deyin ve ben de başka firmaya gideyim. 3-4 gün evde sizi bekledik, işten izin aldık, ek 3g kullanımımızdan 300 tl civarı ek masrafım oldu ve hepsi siz sözünüzü tutmadınız diye!",Fatura ve Ödeme Şikayetleri
Net internet ve TV kurulumunda oldukça ilgisiz ve yetersiz bir hizmet aldım. Teknik destek ve müşteri hizmetleri konusunda ciddi bir iyileştirme gerekiyor.,Müşteri Hizmetleri Şikayetleri
"Turkcell'le yaptıgımız kontrat dışında paket faturaları geldi, kendilerinden kontratları istedik 6 hattımız olmasına rağmen 2 hattın kontratı ellerinde var, zaten biri imazaladığımız paketten farklı bir paket faturaya yansıtılmış, kendilerini 1 aydır arayıp çözüm beklememe rağmen haklı olduğumu beyan edip hiç bir çözüm sunmuyorlar. Kontratları düzeltin dememe rağmen olmayan kontratın fiyat farkını istiyorlar. Her aradığım müşteri temsilcisi haklısın, sorun bizde, çözüm bulup arayacağız diyor ama aynı faturalar gelmeye devam ediyor. Yardımınızı bekliyor teşekkür ediyorum.",Müşteri Hizmetleri Şikayetleri
"5. Firma yaklaşık 15 gün önce 24 aylık üyeliğimin bitmesi üzerine yenilenmesi için telefon açtı, 8 mps olan hızımı 16'ya çıkararak yeni kampanyadan yenilemelerini söyledim ancak hızım artmadı, aksine kesintiye uğradı. Bu hızdan memnun kalmadım eski pakete geçme talebinde bulundum, henüz 1 ay bile geçmemişken bu işlem için 360 tl talep ettiler ve hala internetim kesik.",Teknik Şikayetler
Superonline iade ettiğim cihazla ilgili hatalı fatura gönderdi. Sorunun bir an önce çözülmesi ve doğru faturanın düzenlenmesini talep ediyorum.,Fatura ve Ödeme Şikayetleri
"Yenı aldıgım tabletın ekranı sureklı kararıyor, servıse gonderdıler bır sorun yok dedıler. Servısten geldı sankı hıc kontrol edılmemıs gıbı. Tabletı alalı bır ay oldu, degıstırıp yenısını verıceklerıne hıc bır sorun yok dıyorlar.",Teknik Şikayetler
"2. Merhaba, hattımı turkcell'den bir kaç yıl önce operatörünüze taşıdım faturalı taahhütlü abonesiyim fakat bir üst tarifeye geçişte taahhütte sorun yaşadım, müşteri hizmetleri talebimi aldı fakat bununla ilgili geri dönüş yapmadı müşteri memnuniyeti sıfır faturam yüksek geldi ama bununla ilgili herhangi bir şey yapılmadı, bu konuda yardımınızı rica ediyorum.",Fatura ve Ödeme Şikayetleri
"Videopass paketim olmasına ragmen 480 p kalitesinde izledigim video internetimden yemistir, gereginin yapilmasini istiyorum.",Fatura ve Ödeme Şikayetleri
"Turkcell tarafından yapılan d..andırıcılık ikinci el kullanılmış pis ve arızalı ürünü sıfır adı altında benim evde olmadığım saatte eşime imza attırarak teslim etmişler, ben ürünü görür görmez turkcell tv müşteri hizmetleri ile iletişime geçtim kayıt oluşturdum fakat 3-4 haftada 8-9 sefer kayıt bırakarak çözüme yaklaştım cihaz değişimine gelen ilgili teknik eleman kumandamı değiştirmeyeceğini iletti, tekrar kayıt açtırmam gerektiğini bildirdi ben de kayıt oluşturdum bana dönüşleri ise ürünü bozduğumu para karşılığında değiştirebileceklerini ilettiler ben ürünü geldiği günden beri kullanmadım ve bana getirdikleri kutuda sakladım, gelen teknik elemanda bunu gördü ayrıca üründe herhangi bir kırık çatlak yok, ben bu servis sağlayıcıya geçtiğim günden beri bana vaadedilen hizmetleri hakkımca alamadığım gibi bir de iftira ile suçlanıyorum, hakkımı aramak ve diğer tüm insanlara örnek olmak istiyorum.",Teknik Şikayetler
"İstanbul Ataşehir Mustafa Kemal mahallesi 3094 sok no 1** oturuyorum ve port olmadigi için internet alamıyorum, en kısa zamanda Türk Telekom tarafından port açılmasını rica ediyorum.",Fatura ve Ödeme Şikayetleri
Online işlemler bölümündeki TL yükleme avantajları çalışmıyor bu konuda yardım bekliyorum.,Paket ve Kampanya Şikayetleri
16 aydır Vodafone Net'te kopma sorununu çözemiyorlar 16 mbps interneti 0.60 kbps alıyorum. Binaya kadar sıfırlattım hala çözüm yok. Taahhüt dolduğunda bırakacağım.,Müşteri Hizmetleri Şikayetleri
Paket yenileme işlemi yapılamıyor. Sürekli sorun yaşıyorum ve acil çözüm bekliyorum.,Paket ve Kampanya Şikayetleri
"Bana yalan söylediler, kullandığım sabit hattın internetinin olmadığını söylediler ama verdikleri telefon internete giriyormuş, bizim haberimiz yokken ilk 4 ay 20 tl gelirken sonradan 150-250 tl geldi ödedim. Ama son olarak 478 tl olarak geldi ve benim bu parayı ödeyecek durumum yok. Sizden bu durum hakkında yardım bekliyorum.",Müşteri Hizmetleri Şikayetleri
"Merhabalar, beni yaklaşık bir ay önce ttnet müşteri hizmetlerinden aradılar sadece tivibu satmak için tivibu + internet + sabit hat toplam 70 tl fatura karşılığında ttnet abonesi olmamı istediler ben de kabul ettim. Gelip tivibu'yu bağladılar ama internet ve sabit hatı bu ücrete bağlamıyorlar vazgeçtim diyorum bu sefer de cayma bedeli istiyorlar.",Teknik Şikayetler
Yasada yeri olmayan bir cayma bedeli haksız yere alınıyor. Bu ücretin geri ödenmesini ve haksız uygulamaların sona erdirilmesini talep ediyorum.,Sözleşme ve Taahhüt Şikayetleri
"Turkcell kampanya fatura miktarının üzerinde ücretlendirme yapmasına karşılık yaptığım başvuruda aradığınız kişiye ulaşılamıyor anonsunun ücret yazdığını belirttiler. Bu anonsu duymak istemiyorum isteğime aşağıdaki cevap gönderildi. Merhaba Levent Bey, Turkcell olarak size sunduğumuz hizmet kalitesini sürekli arttırmak ve altyapımızı iyileştirmek için çalışıyoruz. Hizmet verdiğimiz her konuda memnuniyetinizi sağlamak bizim önceliğimiz. Belirttiğiniz sekreter servisi'nin kurgusu gereği bu şekilde ücretlendirmesi olmaktadır. Aradığınız kişiye ulaşılamıyor anonsu duyuncaya kadar altı kez çaldırmanız gerekiyor. Anonsu duyunca kapatmanız yeterlidir. Anlayışınız için teşekkür eder, iyi günler dilerim. Bu tüketiciyi zorlama değil midir?",Teknik Şikayetler
Tarife değişikliği isteğim uzun süre çözülmedi. İhtiyacım olan tarife değişikliği için daha hızlı bir işlem bekliyorum.,Müşteri Hizmetleri Şikayetleri
Müşteri temsilcisi tarafından hatalı bilgi verildi ve bu durum ciddi sorunlara yol açtı. Doğru bilgi ve çözüm bekliyorum.,Müşteri Hizmetleri Şikayetleri
Sincan'dan yenimahalle'ye taşındım doiayısyla türk telekom'a 11 gün önce internet ve tivibu üyeliğimin bu adrese taşınması için müracaat ettim. 4.kez başvurumu bugün yaptım bir türlü taşıma sağlanamadı sürekli başvuruyu yineleyip neden bağlanamadığı bilgisi bile verilmemektedir. Bu ay hizmet alamadığım halde fatura hizmet alıyormuşum gibi değerlendirilecektir bunun için ayrıca tüketici haklarını koruma kurumuna başvuracağım.,Müşteri Hizmetleri Şikayetleri
Turkcell; Kredi kartımla TL yükleme yaparken 20 TL + 54 TL fazla çekildi. Bilgi verilmeden işlem yapılmış yasal yollara başvuracağım.,Müşteri Hizmetleri Şikayetleri
"15.07.2017 saat 13:00-16:00 arasında avea telefon bağlantısı yani şebekesi yoktu. Yine aynı tarih saat 17:00'da tekrar gitti ve hala gelmedi, şuan saat 17:55..Ben müşteri hizmetlerini sabit bir başka hattan aradım ve çözümleyici olmadılar. Benim bulunduğum yer şuan Bartın ili Amasra ilçesi. Biz hizmet bekliyoruz. Bu kuruma yakışmıyor. Üzerime kayıtlı 3 adet avea hattım var ve iptal ettirmeyi düşünüyorum bu sebepten dolayı. Teşekkür ederim.",Fatura ve Ödeme Şikayetleri
ASIM işlemi yapmadığım halde 35 kez ASIM yaptınız diyor. Bu tür hatalı işlemler ve yanlış bilgilendirmeler kabul edilemez.,Müşteri Hizmetleri Şikayetleri
Tivibu'da sürekli donma ve kesinti sorunu yaşanıyor. Servis gelmedi hız yeterli denmişti ama sorun çözülmedi. Tivibu'dan şikayetçiyim.,Müşteri Hizmetleri Şikayetleri
"Turkcell; 14.08.2015 tarihinde 8035'i arayarak kontör yükledim. Bilgim ve iznim olmadan, bana hiç bir açıklama yapılmadan 57 tl'lik kredi kartımdan bir abonelik gerçekleştirilmiştir. Geri iadesini talep ediyorum. Turkcell kendisine çok güveniyorsa konuşma kayıtlarını incelesin.",Teknik Şikayetler
"24.05.2018 kesilen internetim ve ev telefon hattım halen çalışmıyor. Defalarca arıza kaydı bıraktığım halde arıza giderilmeden kapatılıyor. Müşteri temsilcileri her gün arayarak arızanın ev içerisinden kaynaklandığını, telekomun sorumluluğunda bir arıza bulunmadığını iddia etmektedir. Arıza bildirimi yaptığımda bölgesel arıza olduğu müdahalenin devam ettiği bilgisini paylaşmakta olan müşteri temsilcileri verdikleri yanlış bilgilerle kendileri ile çelişmektedir. Ayrıca arızanın giderildiğini, sorunun ev içerisinden kaynaklandığını iddia ederek evime ücret karşılığı ekip gönderebileceklerini ifade eden Türk Telekom tam olarak şahsımı d-andırmaya çalışan bir organize suç örgütü gibi davranmaktadır. Arızamın evimde olduğunu iddia eden müşteri temsilcisine inanarak evdeki tesisatı alt üst ediyorum, bu mağduriyetimin sorumlusu kimdir? Sonuç olarak arıza bildirimim üzerinden günler geçti ve ortada sadece yanlış, çelişkili, eksik bilgilendirme ve müşteri mağduriyeti.",Teknik Şikayetler
"Avea fenercell internet kullanıyorum iki yila yakın zamandır, her ay 26,75 tl gelen tarifem türk telekom'a geçti ve s.yguncu telekom'un gazabına uğradı. Bu ay 47 tl geldi, aradım müşteri hizmetlerini, tam yarım saat telefonda bir yetkiliye bağlanıncaya kadar bekletilip zorunlu marş dinleme işkencesine maruz kaldım. Sonra kota aşımı ve üzerine 12 tl sorma ver parası adı altında faturayı 47 tl'ye yükseltmişler. Allah hepsinin belasinı versin deyip iptal ettiriyorum. Hiç kimsenin zamanı telefonda 30 dakika bekletecek kadar ucuz değildir.",Fatura ve Ödeme Şikayetleri
Haksız kazanç sağlıyorlar ve uygulama düzgün çalışmıyor. Hizmet kalitesi çok düşük!,Ürün ve Hizmet Spesifik Şikayetler
"Mercangöz hukuk bürosundan izzet denilen kişi tarafından eşim arandı. Eşimin babası eşimin adına 0530049* nolu hatı kullanıp bu numara üzerinden tlf almış ve kayınbabm cezaevine girdi bir arkadaşı borcu ödediğini söyledi meğerse ödememiş bundan dolayı tebligat geldi. Durumdan habersiz olup 1 hafta zaman istedik. Eşimin gebe olduğunu durumu anlatarak ailemize zarar vermemesi için biraz zaman istedik ve borcu ödeyebilecek durumda olduğumu ancak arkadaşı vermezse ödeyeceğim dememe rağmen izzet denilen şahıs bu konuda çok az yardımcı oldu. Eşim onu arayıp 1-2 gün süre istedi ama eşimin gebe olduğunu bilmesine rağmen hiç bir gebe kadına olmaması gereken ağır ithamlarda bulundu. Bizi öyle kalitesiz insanlarla muhatap ettiği için turkcell sizden nefret ediyorum bir özür bu kadar mı zor beni arayın turkcell, bir öğretmenim beni aramazsanız ömrüm boyunca turkcell'e düşmanlık yapacağım. Borcu da ödedim.",Müşteri Hizmetleri Şikayetleri
35 tl'lik paket satın aldım 8035'i arayarak. Bilgim dışında 54 tl' lik abonelik yapıp kartımdan çektiler. İptal ettirmek istiyorum. 29 ekim 2016'da gerçekleşti.,Teknik Şikayetler
Balıkesir merkezinde sinyal çekmiyor ve bu durum günlük işlerimi aksatıyor. Sorunun çözülmesini bekliyorum.,Teknik Şikayetler
"1 adet 50 gb internet paketi aldım vodafone yanımda'dan, kalan internet paketini kontrol etmek istediğimde iki kez paket satın alım gerçekteştiğini gördüm. İptal etmek için 30 dakika telefonda bekledim müsteri temsilcisi yok akıllı asistanın IQ 80 bir şey anlamıyor. Altı üstü paket iptali yapacağım. Hattı kapatayım dedim yine kimse yok.",Teknik Şikayetler
Turkcell Superonline; 1 haftadır nakil işlemi yapılmıyor. Fiber altyapı var ama sadece bizim dairemize işlem yapılmıyor. İşlerimizi yürütmekte zorlanıyoruz.,Abonelik ve İşlem Şikayetleri
"Kütahya Tavşanlı Ayvalı köyünde oturuyorum. Bu Türk Telekomun santralinden midir altyapısından mıdır bir türlü düzeltmediği sorundan dolayı internet sürekli gidip geliyor. İnternet gelse de bağlantı yavaş, bu şikayeti bile yaparken bekletti internet. Bir ara çalışma yapıyorlardı kazdılar falan bir yerleri ama nafile sorunu bulamıyorlar.",Abonelik ve İşlem Şikayetleri
"Haziran'da ek olarak video pass ve sosyal pass paketleri aldım. Aynı gün 542 Vodafon müşteri hiz aradım. Paketlerin yenilenmesini istemediğimi belirterek iptal ettirdim. 04.07.2018 paketlerin yenileneceği hakkında sms aldım. Durum için iptal talep yazıp 7000'e gönderdim. Yanıt olarak 'iptal edebileceğiniz ürünler yoktur' mesajı geldi. Ben de paketleri aldığım gün müşteri hiz yetkilisiyle görüşerek yenilemeyi iptal ettirdiğimi düşünerek bu gelen mesajların da bilgisiyle yeniden aramadım. Ancak bugün, 07.07.2018 vodafone sosyal pass ve vodafone video pass paketlerinin otomatik olarak yüklendiği mesajını aldım. Müşteri hiz yetkilisini aradığımda daha önce konuştuğum yetkilinin iptal ettirme talebimi gerçekte yerine getirmediğini ve kandırıldığımı üzülerek öğrendim. Hiç kullanmadan bu paketleri tamamen iptal ettirdim ancak bu ay da paketlerin yenilenme ücretlerinin haksız yere faturama 43 tl yansıyacağını öğrendim.",Abonelik ve İşlem Şikayetleri
Armes Group Turkcell bayisinden alınan telefonun arızası Cepkask tarafından orijinal şekilde yapılmadı. Satış sonrası hizmet çok kötü.,Müşteri Hizmetleri Şikayetleri
"Turkcelll internet paketim bitince bana sormadan ücretli paket veriyor benim onayım alınmadan direk ücretli paketi kullanıma açması çok yanlış, önce benim onayımın olması lazım.",Teknik Şikayetler
"Merhaba, yaklasik bir aydir ev interntinde kopma sorunu yasiyoruz ve dafalarca superonline aradik ama bu gune kadar sonuc alamadik (bina 5 yasinda buna ragmen butun tesisati kontrol ettik) ve bu durumda superonline abone istemektedir hal bu ki biz interneti gunde en az 40 kere kopuyor ve kullanamiyoruz (abone kodu 544**).",Abonelik ve İşlem Şikayetleri
"Superonline hizmeti kullanıyorum ama o vadedilen hizmeti alamıyorum hızım yerlerde sürünüyor herkes topu altyapıya atıyor ekip bile gönderilmiyor destek olmuyorlar. Turkcell firmasından soğudum artık adam gibi bir hizmet alalım dedik mağdur edildik, tavsiyem siz de mağdur olmayın sakın kullanmayın.",Fatura ve Ödeme Şikayetleri
6 aydır alt yapısını beklediğim fiber-netin alt yapısı yapıldıktan sonra bile bağlantımı yapmadılar üstüne üstük birde her telefon açtığımda benimle dalga geçer gibi yetkiliye aktarıyoruz diye telefonu kapattılar bağladıkları kutu arızalı çıktı bunun üzerine aramamda da tekrardan özür bile dilemeden açılır açılır merak etmeyin diye dalga geçtiler bütün ilişkimi keseceğim bu firmayla ayrıca kendim oluşturmuş olduğum ses kayıtlarıyla da sosyal medya da elimden geleni yapacağım rezillikleri için.,Fatura ve Ödeme Şikayetleri
Tarife değişikliği hatası nedeniyle fatura yüksek geldi. Bu hatayı kim düzeltecek?,Ürün ve Hizmet Spesifik Şikayetler
Superonline'dan 2014 itibariyle internet hizmeti almaya başladım bir yıl sonra bircom adında bir firma Superonline'dan geliyoruz güncelleme var diye işlem yaptı benim abone numaram üzerinden yeni bir abonelik açarak taahhüt yeniliyor bilgim dışında çift fatura gelince Superonline'dan iptal istiyoruz iptali yapıyor fakat aylar alan görüşme trafiği internet alamama ve fatura faizleri ile uğraşıp çözüyoruz. 2016 Haziranda ben 2014 taahhudüne dayanarak iptal alıyorum fakat bana taahhudunuze 7 ay daha var diye 482 tl taahhüt iptal bedeli 150 tl modem bedeli faturası geliyor ben de kasım'da bunların benim taahhudum devam ederken taşeron firmanın nasıl taahhut yenilediğini sorup şikayet oluşturuyorum modemi de gelip almaları için arıyorum buna rağmen şikayet incelendiği işlem devam ettiği halde avukata verilip ödeme emri çıkarılıyor avukat parayı tahsil etmek istiyor superonline işlemi devam eden dosyayı takibe yollayıp bilgi vermiyor dönüş yapmıyor cevap çözüm yok.,Teknik Şikayetler
TL hattıma yüklenmedi ve mağdur oldum. Para yükleme işlemlerinde böyle sorunlar yaşanmamalı!,Paket ve Kampanya Şikayetleri
